RAM Address (Nr),Variable Name,Description (Original German),Description (Translated English),Unit,NA Formula Number,Normwert (Quantization),Tester Display Range,System Constraints / Code Conditions
22,misol_w,induziertes resultierendes Sollmoment,Induced Resultant Setpoint Torque,%,33,255,0 ... 100%,
23,miext_w,von extern angefordertes ind. Mom.,Externally Requested Induced Torque,%,33,255,0 ... 100%,SY_BDE=0
24,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 24,Unassigned RAM Address / Reserved Channel 24,,,,,
25,vfzg,Geschwindigkeit,Vehicle Speed,km/h,7,125,0 ... 318 km/h,
26,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 26,Unassigned RAM Address / Reserved Channel 26,,,,,
27,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 27,Unassigned RAM Address / Reserved Channel 27,,,,,
28,fr_w,Lambda-Regelfaktor [0.5 ... 1.5],Lambda Control Factor [0.5 ... 1.5],,20,50,-50 ... <50%,
29,fr2_w,Lambda-Regelfaktor (Bank2) [0.5 ... 1.5],Lambda Control Factor (Bank 2) [0.5 ... 1.5],,20,50,-50 ... <50%,SY_STERVK=1
30,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 30,Unassigned RAM Address / Reserved Channel 30,,,,,
31,rkat_w,Lambda-Adaption (additiv / multiplikativ),Lambda Adaptation (additive/multiplicative),%,20,24/12,+/-25% or +/-12%,SY_BDE=0 & B_plra=0/1
32,rkat2_w,Lam.-Ad. (Bank2),Lambda Adaptation (Bank 2),%,20,24/12,+/-25% or +/-12%,SY_BDE=0 & SY_STERVK=1 & B_plra=0/1
33,fra_w,Lambda Adaption fra [0.5 ... 1.5],Lambda Adaptation fra [0.5 ... 1.5],,20,50,-50 ... 50%,
34,fra2_w,Lambda-Adaption fra (Bank 2) [0.5 ... 1.5],Lambda Adaptation fra (Bank 2) [0.5 ... 1.5],,20,50,-50 ... 50%,SY_STERVK=1
35,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 35,Unassigned RAM Address / Reserved Channel 35,,,,,
36,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 36,Unassigned RAM Address / Reserved Channel 36,,,,,
37,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 37,Unassigned RAM Address / Reserved Channel 37,,,,,
38,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 38,Unassigned RAM Address / Reserved Channel 38,,,,,
39,ushk_w,Sondenspannung 1 hinter Kat,Oxygen Sensor Voltage 1 Behind Catalytic Converter,Volt,66,10,0 ... 3.98 V,
40,ushk2_w,Sondenspannung 2 hinter Kat,Oxygen Sensor Voltage 2 Behind Catalytic Converter,Volt,66,10,0 ... 3.98 V,SY_STERHK=1
41,lamelsh_w,Lambda-Soll f¸r Diag. h. Kat,Target Lambda for Diagnosis Behind Cat (Bank 1),,31,20,0.00 ... 1.99,SY_NOHK=0
42,lamelsh2_w,Lambda-Soll f¸r Diag. h. Kat Bank 2,Target Lambda for Diagnosis Behind Cat (Bank 2),,31,20,0.00 ... 1.99,SY_NOHK=0 & SY_STERHK=1
43,lamsbg_w,Lambda-Soll (LSU) Bank 1,Target Lambda (LSU) Bank 1,,31,20,0.00 ... 1.99,
44,lamsbg2_w,Lambda-Soll (LSU) Bank 2,Target Lambda (LSU) Bank 2,,31,20,0.00 ... 1.99,SY_STERVK=1
45,lamsoni_w,Lambda-Ist (LSU) Bank 1,Actual Lambda (LSU) Bank 1,,31,160/20,0.00 ... 15.99 / 1.99,SY_SCH>0 or SY_SCH<=0
46,lamsoni2_w,Lambda-Ist (LSU) Bank 2,Actual Lambda (LSU) Bank 2,,31,160/20,0.00 ... 15.99 / 1.99,SY_STERVK=1 & (SY_SCH>0 or <=0)
47,000XXXXX,"Flagregister: Bit 0: B_lr, Bit 1: Babbvk, Bit 2: B_hav, Bit 3: Birka, Bit 4: Birsez","Flag Register: Bit 0: Lambda Control Active, Bit 1: Fuel Cutoff Active, Bit 2: Cat Heating Active, Bit 3: Short-Trip Adaptation, Bit 4: Sensor Replacement Indicator",Bits,16,1Fh,,SY_ZZLAM=1
48,0000XXXX,"Flagregister: Bit 0: Blrhk, Bit 1: B_sbbhk, Bit 2: Bhshe, Bit 3: B_lrhkp","Flag Register: Bit 0: Lambda Control Behind Cat, Bit 1: Readiness Behind Cat, Bit 2: Heating Behind Cat, Bit 3: Proportional Lambda Control Behind Cat",Bits,16,0Fh,,
49,000XXXXX,Flagregister: Bank 2 Lambda Control Flags,Flag Register: Bank 2 Lambda Control Flags (Bits 0-4 matching Bank 1),Bits,16,1Fh,,SY_STERVK=1 & SY_ZZLAM=1
50,0000XXXX,Flagregister: Bank 2 Behind Cat Flags,Flag Register: Bank 2 Behind Cat Flags (Bits 0-3 matching Bank 1),Bits,16,0Fh,,SY_STERHK=1
51,wkrdya_0_A,adaptierter Z¸ndwinkel bei Dynamik n-Bereich 0,Adapted Ignition Angle in Dynamic RPM Range 0,KW,34,75,-96 ... 96 KW,
52,rkrn_w_0_A,normierter Referenzpegel Zyl.1,Normalized Reference Level Cylinder 1,Volt,21,156,0 ... 40 V,
53,wkrdya_1_A,adaptierter Z¸ndwinkel bei Dynamik n-Bereich 1,Adapted Ignition Angle in Dynamic RPM Range 1,KW,34,75,-96 ... 96 KW,
54,rkrn_w_1_A,normierter Referenzpegel Zyl.2,Normalized Reference Level Cylinder 2,Volt,21,156,0 ... 40 V,
55,wkrdya_2_A,adaptierter Z¸ndwinkel bei Dynamik n-Bereich 2,Adapted Ignition Angle in Dynamic RPM Range 2,KW,34,75,-96 ... 96 KW,
56,rkrn_w_2_A,normierter Referenzpegel Zyl.3,Normalized Reference Level Cylinder 3,Volt,21,156,0 ... 40 V,
57,wkrdya_3_A,adaptierter Z¸ndwinkel bei Dynamik n-Bereich 3,Adapted Ignition Angle in Dynamic RPM Range 3,KW,34,75,-96 ... 96 KW,
58,rkrn_w_3_A,normierter Referenzpegel Zyl.4,Normalized Reference Level Cylinder 4,Volt,21,156,0 ... 40 V,SY_ZYLZA>3
59,wkrdya_4_A,adaptierter Z¸ndwinkel bei Dynamik n-Bereich 4,Adapted Ignition Angle in Dynamic RPM Range 4,KW,34,75,-96 ... 96 KW,
60,rkrn_w_4_A,normierter Referenzpegel Zyl.5,Normalized Reference Level Cylinder 5,Volt,21,156,0 ... 40 V,SY_ZYLZA>4
61,rkrn_w_5_A,normierter Referenzpegel Zyl.6,Normalized Reference Level Cylinder 6,Volt,21,156,0 ... 40 V,SY_ZYLZA>5
62,wkrmdy_w,dynamischer Mittelwert,Dynamic Mean Value (Knock Control),KW,34,19,0 ... 24.13 KW,SY_TURBO
63,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 63,Unassigned RAM Address / Reserved Channel 63,,,,,
64,rkrn_w_6_A,normierter Referenzpegel Zyl.7,Normalized Reference Level Cylinder 7,Volt,21,156,0 ... 40 V,SY_ZYLZA>6
65,wkrmstat_w,quasistation‰rer Mittelwert,Quasi-Stationary Mean Value,KW,34,19,0 ... 24.13 KW,SY_TURBO>0
66,rkrn_w_7_A,normierter Referenzpegel Zyl.8,Normalized Reference Level Cylinder 8,Volt,21,156,0 ... 40 V,SY_ZYLZA>7
67,fpvdk,Korrekturfaktor Druck (Sauger),Pressure Correction Factor (Naturally Aspirated),,20,100,0 ... 200% (-100 ... 100%),
68,fho_w,Korrekturfaktor Druck (Turbo),Altitude Correction Factor (Turbo),,20,100,0 ... 200% (-100 ... 100%),
69,rlmxs_w,maximal erreichbare F¸llung,Maximum Achievable Air Charge,%,33,133,0 ... 192%,
70,rlmax_w,maximal erreichbare F¸llung bei Turbo,Maximum Achievable Air Charge (Turbo),%,33,133,0 ... 192%,SY_TURBO>0
71,risol_w,Sollf¸llung,Target / Setpoint Air Charge,%,33,67,,
72,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 72,Unassigned RAM Address / Reserved Channel 72,,,,,
73,fldrrx_w,Korrekturfaktor Maximalf¸llung aus KR,Max Charge Correction Factor from Knock Control,%,23,200,0 ... 199%,SY_TURBO>0
74,tix_1,1. Einspritzzeit b. Doppeleinspritzung,1st Injection Time during Dual Injection,ms,22,255,0 ... 65.02 ms,SY_BDE=1
75,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 75,Unassigned RAM Address / Reserved Channel 75,,,,,
76,plsol,Soll-Ladedruck,Target Boost Pressure,mbar,16,250,0 ... 2550 mbar,SY_TURBO>0
77,pvdr_w,Druck vor Drosselklappe Rohwert,Pressure Before Throttle Valve (Raw),hPa,18,250,0 ... 2550 mbar,SY_DSVDK
78,ldtvm,LDR Tastverh‰ltnis moduliert,Boost Pressure Control Duty Cycle (Final),%,33,255,0 ... 100%,SY_TURBO
79,00XXXXXX,"Flagregister: Bit 0: B_ldb, Bit 1: Bldr, Bit 2: Blds, Bit 3: B_ldob, Bit 4: Bldobsp, Bit 5: B_brlmx","Boost Control Flag Register: Bit 0: Boost Ready, Bit 1: Boost Active, Bit 2: Boost Diagnosis, Bit 3: Overboost Active, Bit 4: Overboost Protection, Bit 5: Limit Charge",Bits,16,3Fh,,SY_TURBO>0
80,tmotlin,Motortemperatur,Engine Coolant Temperature,∞C,5,10,-50 ... 1225 ∞C,
81,wub_w,Batteriespannung,Battery Voltage,Volt,21,94,0 ... 23.97 V,
82,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 82,Unassigned RAM Address / Reserved Channel 82,,,,,
83,tiy_1[0],2. Einspritzzeit b. Doppeleinspritzung,2nd Injection Time during Dual Injection,ms,22,255,0 ... 65.02 ms,SY_BDE=1 & Conditions
84,ps_w,Saugrohrdruck absolut,Manifold Absolute Pressure (MAP),hPa,18,250,0 ... 2550 mbar,
85,tanalin,Ansauglufttemperatur,Intake Air Temperature,∞C,5,10,-50 ... 1225 ∞C,
86,vfil_w,Geschwindigkeit gefiltert,Filtered Vehicle Speed,km/h,7,100,0 ... 255 km/h,
87,000XXXXX,"Flagregister: Operating State / Mode (Idle, Part Load, Full Load, Overrun, etc.)","Flag Register: Operating State (Bit 0: Idle, Bit 2: Full Load, Bit 3: Overrun, Bit 4: Enrichment)",Text,37,0,Text Display per Value,
88,dwkrz_0_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 1,Cylinder-Individual Ignition Retard 1,KW,34,75,-96 ... 96 KW,
89,dwkrz_1_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 2,Cylinder-Individual Ignition Retard 2,KW,34,75,-96 ... 96 KW,
90,dwkrz_2_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 3,Cylinder-Individual Ignition Retard 3,KW,34,75,-96 ... 96 KW,
91,dwkrz_3_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 4,Cylinder-Individual Ignition Retard 4,KW,34,75,-96 ... 96 KW,
92,dwkrz_4_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 5,Cylinder-Individual Ignition Retard 5,KW,34,75,-96 ... 96 KW,
93,dwkrz_5_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 6,Cylinder-Individual Ignition Retard 6,KW,34,75,-96 ... 96 KW,
94,dwkrz_6_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 7,Cylinder-Individual Ignition Retard 7,KW,34,75,-96 ... 96 KW,
95,dwkrz_7_A,zylinderindividuelle Z¸ndwinkelsp‰tverst 8,Cylinder-Individual Ignition Retard 8,KW,34,75,-96 ... 96 KW,
96,afnmn,"Bereichsfenster Aussetzer, min. Drehzahl","Misfire Detection Window, Min RPM",U/min,1,200,0 ... 9960 U/min,
97,afnmx,"Bereichsfenster Aussetzer, max. Drehzahl","Misfire Detection Window, Max RPM",U/min,1,200,0 ... 9960 U/min,
98,afmimn,"Bereichsfenster Aussetzer, min. Last","Misfire Detection Window, Min Load",%,33,255,0 ... 100%,
99,afmimx,"Bereichsfenster Aussetzer, max. Last","Misfire Detection Window, Max Load",%,33,255,0 ... 100%,
100,zwist,Ist-Z¸ndwinkel,Actual Ignition Angle,KW,27,75,-96 ... +95.25 KW,
101,fzabgs,Aussetzerz‰hler Summe,Total Misfire Counter Sum,,54,var,0 ... 65535,
102,etazwbm,gemittelter Z¸ndwinkelwirkungsgrad,Average Ignition Angle Efficiency,,33,200,0 ... 127.5,
103,fkmedks_w,Korrekturfaktor schneller Massenstromabgleich,Correction Factor for Fast Mass Flow Adjust,,31,40,0 ... 4,
104,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 104,Unassigned RAM Address / Reserved Channel 104,,,,,
105,000XXXXX,Flagregister: Nockenwellensteuerung Bank 2,Camshaft Control Flag Register Bank 2,Text,37,0,System Status Text,SY_NWGE2
106,tkatm,Katalysatortemperatur aus Modell,Modeled Catalytic Converter Temperature (Bank 1),∞C,97,10,-50 ... 1225 ∞C,
107,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 107,Unassigned RAM Address / Reserved Channel 107,,,,,
108,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 108,Unassigned RAM Address / Reserved Channel 108,,,,,
109,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 109,Unassigned RAM Address / Reserved Channel 109,,,,,
110,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 110,Unassigned RAM Address / Reserved Channel 110,,,,,
111,tkatm2,"Katalysatortemperatur aus Modell, Bank 2",Modeled Catalytic Converter Temperature (Bank 2),∞C,97,10,-50 ... 1225 ∞C,SY_STERVK=1
112,Textausgabe,Textausgabe: SY_STERVK=1 Bank 1 Sensor 1 Status,Text Output: Bank 1 Sensor 1 Status Messages,Text,37,0,Text Status,
113,Flagregister,Flagregister: Diagnostics / Cat Readiness,Flag Register: Cat Readiness & O2 Status Bank 1,Text,37,0,Text Status,
114,Flagregister,Flagregister: SY_STERHK-1 Bank 2 O2 Status,Flag Register: Bank 2 Behind Cat O2 Status,Text,37,30,Text Status,SY_STERHK=1
115,Flagregister,Flagregister: Test status elements for Cat,Flag Register: Cat Test Status Elements,Text,37,0,Test Active/Passive,
116,Flagregister,Flagregister: SY_STERVK=1 & SY_STERHK=1 Bank 2 Cat Test,Flag Register: Bank 2 Cat Test Status Elements,Text,37,0,Test Active/Passive,SY_STERVK=1 & SY_STERHK=1
117,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 117,Unassigned RAM Address / Reserved Channel 117,,,,,
118,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 118,Unassigned RAM Address / Reserved Channel 118,,,,,
119,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 119,Unassigned RAM Address / Reserved Channel 119,,,,,
120,rinh_w,Innenwiderstand Sonde hinter Kat,Internal Resistance of O2 Sensor Behind Cat,kOhm,80,var,0 ... 99.99 kOhm,SY_NOHK=0
121,rinh2_w,"Innenwiderstand Sonde 2 hinter Kat, Bank 2",Internal Resistance of O2 Sensor 2 Behind Cat Bank 2,kOhm,80,var,0 ... 99.99 kOhm,SY_NOHK=0 & SY_STERHK=1
122,Flagregister,Flagregister: Lambdasondenheizung vor Kat,Flag Register: O2 Sensor Heating Before Cat,Text,37,0,Heater ON/OFF,
123,Flagregister,Flagregister: Lambdasondenheizung hinter Kat,Flag Register: O2 Sensor Heating Behind Cat,Text,37,0,Heater ON/OFF,
124,Flagregister,Flagregister: SY_STERVK=1 Heater Bank 2,Flag Register: O2 Sensor Heating Before Cat Bank 2,Text,37,0,Heater ON/OFF,SY_STERVK=1
125,Flagregister,Flagregister: SY_STERHK=1 Heater Bank 2 Behind Cat,Flag Register: O2 Sensor Heating Behind Cat Bank 2,Text,37,0,Heater ON/OFF,SY_STERHK=1
126,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 126,Unassigned RAM Address / Reserved Channel 126,,,,,
127,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 127,Unassigned RAM Address / Reserved Channel 127,,,,,
128,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 128,Unassigned RAM Address / Reserved Channel 128,,,,,
129,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 129,Unassigned RAM Address / Reserved Channel 129,,,,,
130,gangi,Gang vom CAN bei AT oder aus n/v bei HS,Gear Position from CAN (AT) or Speed/RPM Ratio (Manual),,54,0,Gear Number,
131,Flagregister,Flagregister: A/C Pressure / Load State,Flag Register: A/C Low / High State,Text,37,0,A/C State,
132,Flagregister,Flagregister: Compressor Status,Flag Register: Compressor ON/OFF Status,Text,37,0,Compressor Status,
133,lbz,Ladebilanz der Batterie,Battery Charge Balance,%,33,255,0 ... 100%,
134,waks,Drosselklappenwinkel Soll,Setpoint Throttle Valve Angle,%,33,255,0 ... 100%,
135,dmllri_w,Drehmoment‰nderung von der LLR,Torque Variation from Idle Speed Control,%,20,25,+/- 25%,
136,ml_w,Luftmassenfluﬂ per Hub,Air Mass Flow per Stroke,g/B,25,var,0 ... 364,
137,XXXXXXXX,Flagregister: Camshaft Status & Cyl Cutoff Registers,Flag Register: Camshaft & Cylinder Diagnosis Status Flags,Bits,16,FFh,,
138,XXXXXXXX,"Flagregister: Brake, Clutch, Idle Switch Flags","Flag Register: Brake, Clutch, Engine Mode State Flags",Bits,16,FFh,,
139,XXXXXXXX,Flagregister: Diverse Control Flags Bank 2 Adaptation,Flag Register: Diverse Lambda Control Flags (Bank 2),Bits,16,FFh,,
140,Flagregister,Flagregister: SY_NWGE > 0 Camshaft Adaptation Test,Flag Register: Camshaft Adaptation Test State (Bank 1),Text,37,0,Test Status Text,SY_NWGE > 0
141,Flagregister,Flagregister: SY_NWS > 0 Camshaft Control Status,Flag Register: Camshaft Control Status (ON/OFF),Text,37,0,NW-St. EIN/AUS,SY_NWS > 0
142,XXXXXXXX,"Flagregister: OBD-Status (MIL, Trip, Error Count)","Flag Register: OBD Status Flags (MIL, Trip, Error Count)",Bits,16,FFh,,
143,sumode,Flagregister: Saugrohrumschaltung Mode,Intake Manifold Runner Control Mode,Text,37,0,Runner Stage / State,SY_SU>0
144,Flagregister,Flagregister: SY_SU>0 Runner Active Flag,Flag Register: Intake Runner Control Active Flag,Text,37,0,SU-V EIN/AUS,SY_SU>0
145,migs_w,vom Getriebe angefordertes induziertes Moment,Induced Torque Requested by Transmission,Nm,52,var,0 ... 999 Nm,MDNORM
146,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 146,Unassigned RAM Address / Reserved Channel 146,,,,,
147,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 147,Unassigned RAM Address / Reserved Channel 147,,,,,
148,Flagregister,Flagregister: ASR Control Status,Flag Register: ASR Intervention Active Flag,Text,37,0,ASR Active Status,
149,Flagregister,Flagregister: Engine Intervention Type,Flag Register: Engine Intervention Status (No intervention vs Engine Intervention),Text,37,0,Intervention Type,
150,Flagregister,Flagregister: Fuel Cut-Off State,Flag Register: Overrun Fuel Cut-Off Status (ON/OFF),Text,37,0,Cut-Off Status,
151,pus_w,Umgebungsdruck Sensor,Ambient / Atmospheric Pressure Sensor,hPa,18,125,0 ... 1275 hPa,SY_DSU=0
152,tats_w,Abgastemperatur aus Sensor,Exhaust Gas Temperature Sensor Value,∞C,5,var,-50 ... 995 ∞C,SY_ATR=1 & Conditions
153,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 153,Unassigned RAM Address / Reserved Channel 153,,,,,
154,udkpl_w,Spannung Drosselklappenpoti 1 bezogen auf Uref,Throttle Position Sensor 1 Voltage Ratio,%,23,100,0 ... 100%,
155,udkp2_w,Spannung Drosselklappenpoti 2 bezogen auf Uref,Throttle Position Sensor 2 Voltage Ratio,%,23,100,0 ... 100%,
156,upwg1_w,Spannung PWG Poti 1 bezogen auf Uref,Accelerator Pedal Sensor 1 Voltage Ratio,%,23,100,0 ... 100%,
157,upwg2_w,Spannung PWG Poti 2 bezogen auf Uref,Accelerator Pedal Sensor 2 Voltage Ratio,%,23,100,0 ... 100%,
158,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 158,Unassigned RAM Address / Reserved Channel 158,,,,,
159,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 159,Unassigned RAM Address / Reserved Channel 159,,,,,
160,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 160,Unassigned RAM Address / Reserved Channel 160,,,,,
161,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 161,Unassigned RAM Address / Reserved Channel 161,,,,,
162,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 162,Unassigned RAM Address / Reserved Channel 162,,,,,
163,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 163,Unassigned RAM Address / Reserved Channel 163,,,,,
164,lrnstep_c,Adaptionszustand,Throttle Valve Adaptation State Code,,54,0,0 ... 255,
165,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 165,Unassigned RAM Address / Reserved Channel 165,,,,,
166,lrnstat,DVE-Adap. mit Urkoordinatenabsp.,Throttle Valve Adaptation Status Metrics,Text,37,0,Adaptation Status Description,SY_DVEKOOR=0
167,avatev,Anzahl der nicht erfolgreichen DTEV-Pr¸fungen,Number of Unsuccessful Evaporative Purge Tests,,8,10,0 ... 255,
168,ftead_w,Beladung des Aktivkohlefilters,Charcoal Canister Vapor Load Factor,%,33,20,-50 ... 50%,
169,tateout_w,Sp¸lrate Tankentl¸ftung,Evaporative Purge Flow Rate,,20,64,0 ... 0.50%,
170,mste_w,ausgegebenes Tastverh‰ltnis f¸r TEV,Evaporative Purge Valve Commanded Duty Cycle,%,23,100,0 ... 100%,
171,rkte_w,relativer Gemischanteil Tankentl¸ftung,Relative Fuel Content from Evap Purge,%,20,24,+/-24%,
172,XXXXXXXX,Flagregister: OBD Readiness State Overview,"Flag Register: OBD Readiness Flags (Cat, Evap, SLS, etc.)",Bits,16,FFh,,
173,XXXXXXXX,Flagregister: Cat & Evap System Monitor Fault Flags,Flag Register: Catalyst & Evap Monitor Diagnosis Flags,Bits,16,FFh,,
174,Flagregister,Flagregister: Fault status elements part 2,Flag Register: Heater & Evap Test Status Flags Part 2,Text,37,0,Status Descriptions,
175,Flagregister,Flagregister: Secondary Air / O2 Fault Flags Bank 1,Flag Register: O2 Sensor & Secondary Air Monitor Fault Flags,Bits,16,FFh,,
176,XXXXXXXX,Flagregister: Secondary Air / EGR Monitor Fault Flags Bank 2,Flag Register: Bank 2 Monitor Fault Flags & AGR Monitor,Bits,16,FFh,,
177,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 177,Unassigned RAM Address / Reserved Channel 177,,,,,
178,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 178,Unassigned RAM Address / Reserved Channel 178,,,,,
179,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 179,Unassigned RAM Address / Reserved Channel 179,,,,,
180,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 180,Unassigned RAM Address / Reserved Channel 180,,,,,
181,dwnwspe_2,Abw. Adaptionsw. Einl.1,Intake Camshaft Adaptation Offset 1,KW,34,100,+/-100 KW,SY_NWGE>0
182,dwnwape2_w,Abw. Adaptionsw. Ei.2,Intake Camshaft Adaptation Offset 2,KW,34,100,+/-100 KW,SY_NWGE2>0
183,wnwsfae_w,Nockenwellensteuerung Winkelsollabweichung,Camshaft Control Angle Target Deviation,KW,34,100,+/-100 KW,SY_NWGE>0 & SY_NWS>0
184,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 184,Unassigned RAM Address / Reserved Channel 184,,,,,
185,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 185,Unassigned RAM Address / Reserved Channel 185,,,,,
186,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 186,Unassigned RAM Address / Reserved Channel 186,,,,,
187,tmki,genaues Temperatursignal,High-Resolution Engine Temperature Signal,∞C,5,10,High Res Temp,SY_GGGTS=1
188,drlfue_w,Lastkorrektur des F¸llungsreglers,Load Correction of Charge Controller,%,20,128,+/-100%,
189,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 189,Unassigned RAM Address / Reserved Channel 189,,,,,
190,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 190,Unassigned RAM Address / Reserved Channel 190,,,,,
